id,slug,name,address,description,lat,lon,website,is_farm,is_foodartisan,is_distributor
12001,black-oak-farms,Black Oak Farms,"12947 Byron Rd, Byron, MI 48418","We farm a 700 acre, second generation, sustainbale family farm on the south branch of the Shiawassee River nestled in the rolling hills of Shiawassee County. We raise Berkshire and Chesterwhite breeds. We ranked 1st in pork quality among 20 producers winning Organic Valley's 2009 Best Pork Quality Award. We provide for the humane treatment and the health and welfare of our animals. Our animals eat all vegetarian food raised on our farm. Our meat is grown without any checmical additives, antibiotics or hormones.

Black Oak pork is available at Arbor Farms Market, The Ann Arbor Farmer's Market, and Foods for Living.",42.8104399,-83.9435954,,1,0,0
62002,harnois-farms,Harnois Farms,"9260 Scully Road, Whitmore Lake, MI","Hi, I'm John Harnois and I raise and sell free-range chickens (breasts, wings, legs, livers, and hearts), ducks (whole), geese (whole), eggs, and broad-breasted and heritage naragansett turkeys in Webster Church Township near Ann Arbor, Michigan. If you are interested in having some of these, or in just talking about hand-raised food and heirloom birds, give me a call or email me.",42.415351,-83.831373,,1,0,0
164025,otto-s-chicken,Otto's Chicken,"Middleville, Michigan","About us Otto's Chicken is a family owned farm in Middleville, Michigan that raises hormone and antibiotic free chicken. Gary, a fourth generation poultry farmer, and his wife Becky established Otto's Chicken in 2000. With the help of their children Jared and Renae, as well as their dedicated staff, Gary and Becky are committed to raise and process the highest quality antibiotic free chicken and to serve their customers to the best of their ability. Otto's is a growing business with locations in Middleville, Kalamazoo, Royal Oak and Lansing.

As part of their commitment to providing quality chicken, in 2005 Otto's Chicken became a USDA Federally Inspected Plant. Otto's also vacuum seals their chicken to ensure freshness and a longer shelf life. Otto's Chicken in Middleville, Michigan, provides farm-fresh, antibiotic and hormone-free chicken to Michiganders looking for quality meat. If you're wanting fresh, quality chicken, come to Otto's locations at the farm store in Middleville, the Farmers Markets at Kalamazoo, Royal Oak and Lansing City Market. You are sure to love the taste of this locally raised chicken that has had access to fresh, natural food and clean water as well as plenty of space for roaming around. Exercise and diet are very important in the health of the chicken, and healthy chicken is tasty chicken! With years of experience, top notch management and a passion for poultry, we strive to provide quality chicken products that you are sure to enjoy. Come to Otto's Chicken and choose from a selection of cuts and products to find just what you're looking for. Taste the difference - it's the natural choice!",42.7130889,-85.4619599,http://www.ottoschicken.com,1,0,0
183012,hampshire-farms,Hampshire Farms,"7300 Legg Road, Kingston, MI","We have certified organic eggs, seeds, beans, and vegetables. We also sell whole grain flours and make our own artisan yeast-free brick oven breads.",43.4426298,-83.1348192,http://www.hampshirefarmsorganic.com/,1,1,0
262002,back-forty-acres,Back Forty Acres,"Farm - 17410 Heim, Chelsea, MI","Dec 26, 2011 We have GOOSE available, along with BEEF, CHICKEN GIBLETS, RABBIT, TURKEY (white and heritage) Contact stephanie@backfortyacres.com to arrange farm pickup.  List of available products and prices on our home page.

Further details on website

Pasture-raised poultry and grass-fed livestock, old breeds. Back Forty Acres is a family-owned farming venture whose vision is to produce good tasting meat and poultry products for the local community, raised naturally - on pasture and with natural feeds - humanely - done in a sustainable fashion.  Simple as that! 

Our animal feed has no chemicals, antibiotics or growth hormones.  Mother Nature does not feed these to her animals and humans were not meant to consume them through the food chain.  We believe mimicking Mother Nature can improve the quality of food and the quality of life.

Our animals are not confined as they are in many factory farms.  Our poultry (chickens, turkeys, ducks, geese) are raised on pasture in either portable pasture pens or in fenced in areas.  They are outside in the fresh air and sunshine.  Daily we move the pasture pens to a fresh new patch of green where they eat insects and grass, which we supplement with our natural feed.  Our egg layers are free range with 24/7 access to a large area we fence in with moveable fence.  Moveable so we can get them new grassy area.  Our sheep and goats are grass fed on 20+ acres.  The pigs are currently in the barn with 24/7 access to a paddock.  Soon they too will have their own corner of the pasture, where they can root around and just enjoy being a pig!  We also raise rabbit.  Outside living with access to proper foods can improve the quality of the meat and eggs along with the quality of the animal's life.

We raise several Heritage Breeds.  Have you heard this term? Factory farms generally raise only one type of chicken, pig, etc., focusing on a breed that will grow fast and cheap.  Because of this, many Heritage Breeds have populations that have dropped to a critical level. These ""old breeds"" of poultry and livestock are the ones our ancestors put on their tables. Rediscover them as many have across the country! You will be pleasantly surprised with the quality and flavor. Concerned breeders across the country are trying to build up their flocks and herds of Heritage breeds. With your purchase, you are saying that biodiversity is important.  We raise Tamworth pigs, Slate and Bourbon Red turkeys and Silver Appleyard ducks for their eggs.  Read more at www.backfortyacres.com",42.3180919,-84.0205029,www.backfortyacres.com,1,0,0
838002,greyledge-farm,Greyledge Farm,"17 Berry Road, Roxbury, CT 06752",,41.5009964,-73.3238768,www.greyledgefarm.com,1,0,0
1260076,grassfields-organic-cheeses,Grassfields Organic Cheeses,"14238 60th Avenue, Coopersville, MI, 49404","It's natural and safe:
Our family at Grassfields Cheese provides foods that are safe and natural, just like God intended. We are certified Organic and our Organic cheeses are now available! 	  	Raw Milk:
Raw milk cheese has a lot more flavor than pasteurized cheese and it has two to three times the amount of digestible vitamins and minerals than pasteurized cheese.

Family Farm:
Our cheese is made on our family farm by our own family. We have only a few part-time employees who are not related to the family, making it a true farm family. In this way also, we can ensure that our small cheese-making business and all buildings are kept clean and safe.
	

Pasture based farming:
Our cows spend 99% of their lives outside, keeping them cleaner and contributing to good health. When cows are grazing outside, they are harvesting their own feed and spreading their own manure, the way God intended. From their birth to their death, our cows feed on fresh organic grass the majority of the year (because we live in Michigan). They are supplemented nutritionally with small amounts of organic grain and minerals. Their milk is certified organic and their meat free of hormones, steroids, and antibiotics.",43.024969,-85.93383,http://www.grassfieldscheese.com,1,1,0
1277023,boulder-belt-eco-farm,Boulder Belt Eco-Farm,"3257 US 127 N, Eaton, OH 45320-0593","Boulder Belt Eco-Farm in SW Ohio is a 9 acre sustainably managed farm that raises a wide variety of produce and  pastured poultry for for eggs and meat via their Farm Share Initiative (like a CSA only more so) and farm store. 

Our store is open 7 days a week from 10 am until 7pm

Our FSI is taking new members for 2013",39.7880724,-84.6337139,http://www.boulderbeltfarm.com,1,1,0
1348041,creswick-farms,Creswick Farms,"6500 Rollenhagen Rd, Ravenna, MI 49451","All of the animals are naturally raised. The animals enjoy non-herbicide/chemical fertilized pasture and are supplied free choice with organic minerals and kelp. Our meats are processed in a family-owned slaughterhouse and are vacuum-packaged to preserve freshness and improve shelf life.

Heritage Pork:
We do our best to keep our pigs happy and comfortable during their time with us.  And in return, the pigs reward us with pork that is more flavorful than any we’ve eaten. No antibiotics.

Lamb:
We fatten our lambs in pastures planted with perennial grasses, each selected for its palatability and nutritional benefits, both to the sheep and to the consumer. 

Beef:
Grass-fed. Dry-aged.


Chicken: Try our naturally fed pasture raised chickens.  These are raised on natural grain and grass fed.  Not much fat on these tasty birds!  Like ALL our other products, there are no hormones or additives in these, just natural grains and grasses. 

Eggs:Our hens are fed a chemical-free diet, including fresh greens and surplus garden produce. They are allowed loose housing.  They can stroll around and exercise, receiving natural sunshine and fresh air. Primarily the heirloom breeds such as Rhode Island Reds and Barred Plymouth Rocks. They are ranged on pasture for 8 months a year and sheltered during the winter.
	
Our normal hours are Weds 1 pm to 6 pm, Fri 10 am to 5 pm, Sat 10 am to 3 pm. Other times by appointment. 
(from www.creswickfarms.com)",43.1324765,-85.9973593,http://www.creswickfarms.com,1,1,0
1470209,fairview-farm,Fairview Farm,"Dallas, Oregon","Handmade cheese from Terry and Laurie Carlson.  Terry and Laurie have raised goats for the last 4 years and are dedicated to sustainable and ethical tending practices. The goats are antibiotic and hormone free and are raised according to the Animal Welfare Proof standards. They have a delicious and unique recipe for ""skyr"", pronounced ski-er, a viking recipe for creamy cheese.",44.9192844,-123.3170472,,1,1,0
